City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Zhangjiakou,CN,1/26/2022 22:35,40.81,114.8794,7.56,78,7,5.35
71,Naples,IT,1/26/2022 22:35,40.8333,14.25,52.75,79,18,2.3
72,Tuktoyaktuk,CA,1/26/2022 22:35,69.4541,-133.0374,-4,71,20,20.71
73,Khorramshahr,IR,1/26/2022 22:35,30.4397,48.1664,60.76,88,75,2.3
74,San Patricio,US,1/26/2022 22:35,28.017,-97.5169,64.18,63,87,9.84
75,Pangai,TO,1/26/2022 22:35,-19.8,-174.35,82.18,76,13,9.71
76,Cape Town,ZA,1/26/2022 22:32,-33.9258,18.4232,70.21,77,0,1.99
77,Kapaa,US,1/26/2022 22:35,22.0752,-159.319,79.12,72,75,4
78,Makakilo City,US,1/26/2022 22:35,21.3469,-158.0858,79.12,60,100,14.97
79,Port Elizabeth,ZA,1/26/2022 22:35,-33.918,25.5701,69.1,94,100,6.91
80,Santa Maria,BR,1/26/2022 22:35,-29.6842,-53.8069,74.5,100,75,3.44
81,Atherton,GB,1/26/2022 22:35,53.5237,-2.4935,48.88,82,100,5.99
82,Yerbogachen,RU,1/26/2022 22:35,61.2767,108.0108,-20.85,100,93,3.6
83,Longyan,CN,1/26/2022 22:35,25.1072,117.0225,57.02,95,3,1.25
84,Hualmay,PE,1/26/2022 22:32,-11.0964,-77.6139,73.06,78,64,9.42
85,Dwarka,IN,1/26/2022 22:35,22.2394,68.9678,65.28,46,2,10.98
86,Severo-Kurilsk,RU,1/26/2022 22:35,50.6789,156.125,25.23,80,91,23.42
87,Mahebourg,MU,1/26/2022 22:35,-20.4081,57.7,71.26,83,20,3.44
88,Vila Velha,BR,1/26/2022 22:34,-20.3297,-40.2925,77.45,80,0,5.01
89,Namibe,AO,1/26/2022 22:35,-15.1961,12.1522,76.42,80,100,2.77
90,Nuuk,GL,1/26/2022 22:35,64.1835,-51.7216,18.21,73,75,17.27
91,Coihaique,CL,1/26/2022 22:34,-45.5752,-72.0662,81.21,26,0,9.22
92,Atuona,PF,1/26/2022 22:36,-9.8,-139.0333,79.11,77,13,18.92
93,Punta Arenas,CL,1/26/2022 22:36,-53.15,-70.9167,55.51,67,0,29.93
94,Derzhavinsk,KZ,1/26/2022 22:36,51.1,66.3167,0.72,92,89,7.43
95,Mahajanga,MG,1/26/2022 22:36,-15.7167,46.3167,77.02,94,40,4.61
96,New Norfolk,AU,1/26/2022 22:36,-42.7826,147.0587,70.92,57,100,1.99
