City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
100,Lebu,CL,53.42,clear sky,-37.6167,-73.65,Hostal Las Lilas
101,Villamartin,ES,68.36,clear sky,36.8598,-5.6449,Viajes Corrales Group
102,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
104,Poso,ID,77.81,light rain,-1.3959,120.7524,Hotel 77 Poso
105,Lompoc,US,76.57,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
106,Moron,AR,53.92,scattered clouds,-34.6534,-58.6198,Hotel Morón
107,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
110,Iquique,CL,62.64,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
112,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
113,Lingao,CN,71.69,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
114,Mount Isa,AU,64.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
116,Mar Del Plata,AR,54.95,shower rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
118,Hobyo,SO,80.19,few clouds,5.3505,48.5268,Iftin hotel hobyo
121,Ucluelet,CA,55.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
122,Alice Springs,AU,51.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
123,Thaton,MM,80.04,moderate rain,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
124,Narsaq,GL,50.22,overcast clouds,60.9167,-46.05,Sleep In Narsaq
126,Nantucket,US,62.65,fog,41.2835,-70.0995,Jared Coffin House
128,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
129,Butaritari,KI,82.4,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
130,Narasapur,IN,82.67,overcast clouds,16.45,81.6667,UDIPI HOTEL COMFORTINN
132,Ribeira Grande,PT,58.55,broken clouds,38.5167,-28.7,Quinta da Meia Eira
133,Suwa,JP,52.2,overcast clouds,36.038,138.1131,RAKO 華乃井ホテル
134,Marsa Matruh,EG,66.4,clear sky,31.3525,27.2453,Beau Site
135,Le Port,RE,73.36,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
137,Pyu,MM,76.23,overcast clouds,18.4833,96.4333,Mr Bo Bo
138,Bandar-E Lengeh,IR,80.56,clear sky,26.5579,54.8807,کافی نت پارس
141,Hamilton,US,77.95,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
143,Ipua,BR,64.53,overcast clouds,-20.4381,-48.0122,Hotel e Restaurante M. Martins
145,Alampur,IN,86.41,broken clouds,15.8833,78.15,Haritha Hotel Alampur
147,Nishihara,JP,65.86,light rain,26.1842,127.7558,Minshuku Agaihama
148,Raudeberg,NO,50.67,clear sky,61.9875,5.1352,Nordre Silda.
149,Karratha,AU,74.3,heavy intensity rain,-20.7377,116.8463,ibis Styles Karratha
